Key,English,ChineseSimplified,ChineseTraditional,Spanish,French,Russian,Portuguese,Japanese,Korean
MetaWorld,MetaWorld,MetaWorld,,,,,,MetaWorld,MetaWorld
Defeat1and1execute1them1,Defeat1and1execute1them1,Defeat1and1execute1them1,,,,,,Defeat1and1execute1them1,Defeat1and1execute1them1
Loading...,Loading...,Loading...,,,,,,Loading...,Loading...
"不要轻易暴露自己的身份
远离那些试图靠近你的人
不要相信任何人
每个人都可能很危险!","Don't reveal your identity easily.
Stay away from those who try to get close to you.
Don't trust anyone.
Everyone can be in danger!","不要轻易暴露自己的身份
远离那些试图靠近你的人
不要相信任何人
每个人都可能很危险!",,,,,,"簡単に身元を明かさないでください
自分に近づこうとする人からは距離を置く
誰も信用しないでください
誰でも危険な可能性があります！","쉽게 정체를 밝히지 마세요
당신에게 가까이 다가가려는 사람들을 멀리하세요
누구도 믿지 마세요
누구나 위험할 수 있어요!"
温馨提示,Friendly Tips,温馨提示,,,,,,親切なヒント,친절한 팁
"掏出手枪后，点击屏幕射击
找到隐藏的凶手，击败他!
不要攻击平民","Raise your gun and tap to shoot
Find the hidden Murderer and defeat him!
Do not attack civilians","掏出手枪后，点击屏幕射击
找到隐藏的凶手，击败他!
不要攻击平民",,,,,,"ピストルを取り出したら、画面をタップして発砲します
隠れた殺人者を探し出して倒しましょう！
民間人を攻撃しないでください","권총을 꺼낸 후 화면을 터치해 총을 쏘세요
숨은 살인자를 찾아 물리쳐보세요!
민간인을 공격하지 마십시오"
侦探教学,Detective Tutorial,侦探教学,,,,,,探偵の指導,탐정 교육
掏出手枪,Pull out the gun,掏出手枪,,,,,,ピストルを取り出す,권총을 꺼내다
收起手枪,Put away the gun,收起手枪,,,,,,ピストルをしまってください,권총은 치워두세요
准星图标,Front Sight,准星图标,,,,,,十字線アイコン,십자선 아이콘
"掏出近战武器后，会自动攻击周围玩家
掏出远程飞刀后，点击准星来扔出
击败所有人，小心侦探!","Attack nearby players automatically when Melee weapon is pulled
Pull out the Dagger and tap the aiming sign to throw it
Defeat everyone, Detective!","掏出近战武器后，会自动攻击周围玩家
掏出远程飞刀后，点击准星来扔出
击败所有人，小心侦探!",,,,,,"近接武器を取り出すと、自動的に周囲のプレイヤーを攻撃します。
リモート投げナイフを取り出した後、十字線をクリックして投げます
全員を倒し、探偵たちに気をつけてください!","근접 무기를 꺼내면 자동으로 주변 플레이어를 공격합니다.
원격 투척칼을 꺼낸 후 십자선을 클릭하여 투척합니다.
모두 물리치고 형사들을 조심하세요!"
凶手教学,Murderer Tutorial,凶手教学,,,,,,殺人者の教え,살인자 교육
掏出近战匕首,Pull out the Knife,掏出近战匕首,,,,,,近接ダガーを取り出します,근접 단검을 꺼내세요
掏出远程飞刀,Pull out the Dagger,掏出远程飞刀,,,,,,遠隔手投げナイフを取り出します,원격 투척칼을 꺼내세요
收起武器,Put away your weapon,收起武器,,,,,,武器をしまう,무기를 치워두다
恢复默认形象,Restore Default Avatar,恢复默认形象,,,,,,デフォルトイメージに戻す,기본 이미지 복원
换装商店,Dress Up Shop,换装商店,,,,,,ドレスアップショップ,드레스 업 샵
免费奖励,Free Rewards,免费奖励,,,,,,無料特典,무료 보상
看广告可以使用这个厉害的武器哟~,Watch ads to use this powerful weapon!,看广告可以使用这个厉害的武器哟~,,,,,,広告を見ればこの強力な武器を使うことができますよ~,광고를 보시면 이 강력한 무기를 사용하실 수 있습니다~
取消,Cancel,取消,,,,,,キャンセル,취소
Play Ads,Play Ads,Play Ads,,,,,,Play Ads,Play Ads
每天限购一次,One purchase per day,每天限购一次,,,,,,購入は1日1回までに制限する,하루에 한 번만 구매 가능
广告券+13888,Voucher + 13888,广告券+13888,,,,,,広告クーポン +13888,광고 쿠폰 +13888
已领取,Claimed,已领取,,,,,,受け取った,받았다
充值,Recharge,充值,,,,,,補充する,충전하다
UserId：1111111111,UserId：1111111111,UserId：1111111111,,,,,,UserId：1111111111,UserId：1111111111
9.99万亿111,$9.99 trillion 111,9.99万亿111,,,,,,9.99 兆 111,9조 9900억 111
9.99万亿,$9.99 trillion,9.99万亿,,,,,,9.99兆ドル,9.99조
请输入兑换码,Please enter redemption code,请输入兑换码,,,,,,引き換えコードを入力してください,상환 코드를 입력하세요
请输入作者提供的兑换码，即可兑换奖励,Please enter the redemption code provided by the author to redeem the reward,请输入作者提供的兑换码，即可兑换奖励,,,,,,特典を引き換えるには、作者が提供する引き換えコードを入力してください。,보상을 교환하려면 작성자가 제공한 교환 코드를 입력하세요.
兑换,Exchange,兑换,,,,,,交換,교환
There Is No Tomorrow,There Is No Tomorrow,There Is No Tomorrow,,,,,,There Is No Tomorrow,There Is No Tomorrow
社交,Social,社交,,,,,,社会的接触,사회적 접촉
*o*( 我要开始表演了~,*o* (I'm going to start the show!),*o*( 我要开始表演了~,,,,,,*o*( ショーを始めます。,*오*( 쇼를 시작하겠습니다.
"Hello,How are you?I'm fine,thank you.","Hello,How are you?I'm fine,thank you.","Hello,How are you?I'm fine,thank you.",,,,,,"Hello,How are you?I'm fine,thank you.","Hello,How are you?I'm fine,thank you."
我要开始表演了我要开始表演了,I'm gonna start. I'm gonna start.,我要开始表演了我要开始表演了,,,,,,ショーを始めるよ。,쇼를 시작할게요 쇼를 시작할게요
凶手,Murderer,凶手,,,,,,殺人者,살인자
免费换装,Free Outfit,免费换装,,,,,,無料ドレスアップ,무료 드레스업
R,R,R,,,,,,R,R
OK,OK,OK,,,,,,OK,OK
A,A,A,,,,,,A,A
兑换 奖励,Redeem Rewards,兑换 奖励,,,,,,報酬を引き換える,보상 사용
Text_Expend,Text_Expend,Text_Expend,,,,,,Text_Expend,Text_Expend
Text_VoucherExchange,Text_VoucherExchange,Text_VoucherExchange,,,,,,Text_VoucherExchange,Text_VoucherExchange
你的身份是1,Your identity is 1.,你的身份是1,,,,,,あなたのアイデンティティは 1,당신의 신분은 1
1参与对局将提升概率1,1 Participating in the match will increase the probability 1,1参与对局将提升概率1,,,,,,1ゲームに参加すると確率が1上がります,1게임에 참여하면 확률이 1씩 증가합니다.
超级特权生效中,Super Privilege is in effect.,超级特权生效中,,,,,,スーパー特権が有効です,슈퍼 특권 적용 중
Detective,Detective,Detective,,,,,,Detective,Detective
Maffia,Maffia,Maffia,,,,,,Maffia,Maffia
Civilian,Civilian,Civilian,,,,,,Civilian,Civilian
成为黑手党的概率1,Mafia Probability 1,成为黑手党的概率1,,,,,,マフィアになる確率1,마피아가 될 확률1
胜利！,Victory!,胜利！,,,,,,勝利！,승리!
失败,Failed,失败,,,,,,失敗,실패하다
You Die,You Die,You Die,,,,,,You Die,You Die
"On behalf of justice, you can't shoot randomly, attacking good people leads to your own death","On behalf of justice, you can't shoot randomly, attacking good people leads to your own death","On behalf of justice, you can't shoot randomly, attacking good people leads to your own death",,,,,,"On behalf of justice, you can't shoot randomly, attacking good people leads to your own death","On behalf of justice, you can't shoot randomly, attacking good people leads to your own death"
Text_Content_20032,Text_Content_20032,Text_Content_20032,,,,,,Text_Content_20032,Text_Content_20032
0/5,0/5,0/5,,,,,,0/5,0/5
存活经验：+{0}EXP,Survival Experience: +{0}EXP,存活经验：+{0}EXP,,,,,,生存経験: +{0}経験値,생존 경험: +{0}경험치
距离对局开始还有,until the game starts.,距离对局开始还有,,,,,,試合開始までまだ時間がある,경기 시작까지는 아직 시간이 남았다
00:00,00:00,00:00,,,,,,00:00,00:00
身份目标提示放在这里,Identity Target Prompt here,身份目标提示放在这里,,,,,,ID ターゲットのヒントはここに配置されます,ID 타겟 팁은 여기에 있습니다.
1/10,1/10,1/10,,,,,,1/10,1/10
待拾取,To be collected,待拾取,,,,,,迎えに行く,픽업 예정
你的身份是：,Your identity is:,你的身份是：,,,,,,あなたのアイデンティティは次のとおりです。,귀하의 신원은 다음과 같습니다:
警探,Detective,警探,,,,,,警探,경찰 탐정
身份目标,Identity Goal,身份目标,,,,,,アイデンティティの目標,정체성 목표
活下去,Live,活下去,,,,,,生き続ける,계속 살아
目标1,Goal 1,目标1,,,,,,目標 1,목표 1
目标2,Goal 2,目标2,,,,,,目標2,목표 2
特权生效中,Privilege is in effect.,特权生效中,,,,,,特権が有効です,권한이 적용됩니다.
PlayerName,PlayerName,PlayerName,,,,,,PlayerName,PlayerName
Text,Text,Text,,,,,,Text,Text
