Key,English,ChineseSimplified,ChineseTraditional,Spanish,French,Russian,Portuguese,Japanese,Korean
免费奖励,Free Rewards,免费奖励,,,,,,無料特典,무료 보상
看广告可以使用这个厉害的武器哟~,Watch ads to use this powerful weapon!,看广告可以使用这个厉害的武器哟~,,,,,,広告を見ればこの強力な武器を使うことができますよ~,광고를 보시면 이 강력한 무기를 사용하실 수 있습니다~
取消,Cancel,取消,,,,,,キャンセル,취소
Play Ads,Play Ads,Play Ads,,,,,,Play Ads,Play Ads
1,1,1,,,,,,1,1
2,2,2,,,,,,2,2
3,3,3,,,,,,3,3
0,0,0,,,,,,0,0
4,4,4,,,,,,4,4
5,5,5,,,,,,5,5
6,6,6,,,,,,6,6
R,R,R,,,,,,R,R
7,7,7,,,,,,7,7
8,8,8,,,,,,8,8
9,9,9,,,,,,9,9
OK,OK,OK,,,,,,OK,OK
A,A,A,,,,,,A,A
Text,Text,Text,,,,,,Text,Text
还原,Restore,还原,,,,,,削減,절감
"不要轻易暴露自己的身份
远离那些试图靠近你的人
不要相信任何人
每个人都可能很危险!","Don't reveal your identity easily.
Stay away from those who try to get close to you.
Don't trust anyone.
Everyone can be in danger!","不要轻易暴露自己的身份
远离那些试图靠近你的人
不要相信任何人
每个人都可能很危险!",,,,,,"簡単に身元を明かさないでください
自分に近づこうとする人からは距離を置く
誰も信用しないでください
誰でも危険な可能性があります！","쉽게 정체를 밝히지 마세요
당신에게 가까이 다가가려는 사람들을 멀리하세요
누구도 믿지 마세요
누구나 위험할 수 있어요!"
温馨提示,Friendly Tips,温馨提示,,,,,,親切なヒント,친절한 팁
"掏出手枪后，点击屏幕射击
找到隐藏的凶手，击败他!
不要攻击平民","Raise your gun and tap to shoot
Find the hidden Murderer and defeat him!
Do not attack civilians","掏出手枪后，点击屏幕射击
找到隐藏的凶手，击败他!
不要攻击平民",,,,,,"ピストルを取り出したら、画面をタップして発砲します
隠れた殺人者を探し出して倒しましょう！
民間人を攻撃しないでください","권총을 꺼낸 후 화면을 터치해 총을 쏘세요
숨은 살인자를 찾아 물리쳐보세요!
민간인을 공격하지 마십시오"
侦探教学,Detective Tutorial,侦探教学,,,,,,探偵の指導,탐정 교육
掏出手枪,Pull out the gun,掏出手枪,,,,,,ピストルを取り出す,권총을 꺼내다
收起手枪,Put away the gun,收起手枪,,,,,,ピストルをしまってください,권총은 치워두세요
准星图标,Front Sight,准星图标,,,,,,十字線アイコン,십자선 아이콘
"掏出近战武器后，会自动攻击周围玩家
掏出远程飞刀后，点击准星来扔出
击败所有人，小心侦探!","Attack nearby players automatically when Melee weapon is pulled
Pull out the Dagger and tap the aiming sign to throw it
Defeat everyone, Detective!","掏出近战武器后，会自动攻击周围玩家
掏出远程飞刀后，点击准星来扔出
击败所有人，小心侦探!",,,,,,"近接武器を取り出すと、自動的に周囲のプレイヤーを攻撃します。
リモート投げナイフを取り出した後、十字線をクリックして投げます
全員を倒し、探偵たちに気をつけてください!","근접 무기를 꺼내면 자동으로 주변 플레이어를 공격합니다.
원격 투척칼을 꺼낸 후 십자선을 클릭하여 투척합니다.
모두 물리치고 형사들을 조심하세요!"
凶手教学,Murderer Tutorial,凶手教学,,,,,,殺人者の教え,살인자 교육
掏出近战匕首,Pull out the Knife,掏出近战匕首,,,,,,近接ダガーを取り出します,근접 단검을 꺼내세요
掏出远程飞刀,Pull out the Dagger,掏出远程飞刀,,,,,,遠隔手投げナイフを取り出します,원격 투척칼을 꺼내세요
收起武器,Put away your weapon,收起武器,,,,,,武器をしまう,무기를 치워두다
Button,Button,Button,,,,,,Button,Button
Wanna play a game with me? ,Wanna play a game with me? ,Wanna play a game with me? ,,,,,,Wanna play a game with me? ,Wanna play a game with me? 
警探,Detective,警探,,,,,,警探,경찰 탐정
MetaWorld,MetaWorld,MetaWorld,,,,,,MetaWorld,MetaWorld
达拉崩吧斑得贝迪卜多比鲁翁,Let's get this party started!,达拉崩吧斑得贝迪卜多比鲁翁,,,,,,ダラ ベンバ バーデ ベディブ ドビルン,다라 벤바 베디베디브 도빌루옹
黑手党,Mafia,黑手党,,,,,,マフィア,마피아
VS,VS,VS,,,,,,VS,VS
Text_Content_12007,Text_Content_12007,Text_Content_12007,,,,,,Text_Content_12007,Text_Content_12007
Text_Content_12008,Text_Content_12008,Text_Content_12008,,,,,,Text_Content_12008,Text_Content_12008
杀手,Assassin,杀手,,,,,,キラー,살인자
Text_Content_12009,Text_Content_12009,Text_Content_12009,,,,,,Text_Content_12009,Text_Content_12009
99,99,99,,,,,,99,99
消灭了3名学生,Eliminated 3 students,消灭了3名学生,,,,,,生徒3人を殺害,학생 3명 살해
9999,9999,9999,,,,,,9999,9999
Text_Content_12014,Text_Content_12014,Text_Content_12014,,,,,,Text_Content_12014,Text_Content_12014
Text_Content_12015,Text_Content_12015,Text_Content_12015,,,,,,Text_Content_12015,Text_Content_12015
特权生效中,Privilege is in effect.,特权生效中,,,,,,特権が有効です,권한이 적용됩니다.
Text_Content_12016,Text_Content_12016,Text_Content_12016,,,,,,Text_Content_12016,Text_Content_12016
Text_Content_12017,Text_Content_12017,Text_Content_12017,,,,,,Text_Content_12017,Text_Content_12017
"Your first round is over, take a look at the settlement panel","Your first round is over, take a look at the settlement panel","Your first round is over, take a look at the settlement panel",,,,,,"Your first round is over, take a look at the settlement panel","Your first round is over, take a look at the settlement panel"
Here is the final result of the game,Here is the final result of the game,Here is the final result of the game,,,,,,Here is the final result of the game,Here is the final result of the game
Here shows the two players who impacted the game most as well as their wins and losses,Here shows the two players who impacted the game most as well as their wins and losses,Here shows the two players who impacted the game most as well as their wins and losses,,,,,,Here shows the two players who impacted the game most as well as their wins and losses,Here shows the two players who impacted the game most as well as their wins and losses
Here's shows your earning in this round,Here's shows your earning in this round,Here's shows your earning in this round,,,,,,Here's shows your earning in this round,Here's shows your earning in this round
CONFIRM,CONFIRM,CONFIRM,,,,,,CONFIRM,CONFIRM
youwillpay10000forthis,youwillpay10000forthis,youwillpay10000forthis,,,,,,youwillpay10000forthis,youwillpay10000forthis
Yes,Yes,Yes,,,,,,Yes,Yes
No,No,No,,,,,,No,No
1111111111111111111,1111111111111111111,1111111111111111111,,,,,,1111111111111111111,1111111111111111111
22222222222222,22222222222222,22222222222222,,,,,,22222222222222,22222222222222
3333333,3333333,3333333,,,,,,3333333,3333333
Defeat1and1execute1them1,Defeat1and1execute1them1,Defeat1and1execute1them1,,,,,,Defeat1and1execute1them1,Defeat1and1execute1them1
分组,Groups,分组,,,,,,グループ,그룹
命令,Commands,命令,,,,,,命令,주문하다
执行,Execute,执行,,,,,,埋め込む,구현하다
购买,Purchase,购买,,,,,,買う,구입하다
物品名字物品名字,Item Name Item Name,物品名字物品名字,,,,,,項目名 項目名,아이템 이름 아이템 이름
100000,100000,100000,,,,,,100000,100000
抽奖获得,Won by Lottery,抽奖获得,,,,,,抽選で当たりました,복권으로 당첨됨
Loading,Loading,Loading,,,,,,Loading,Loading
武器名字,Weapon Name,武器名字,,,,,,武器名,무기 이름
3%,3%,3%,,,,,,3%,3%
Text_Content_12024,Text_Content_12024,Text_Content_12024,,,,,,Text_Content_12024,Text_Content_12024
Text_Content_12019,Text_Content_12019,Text_Content_12019,,,,,,Text_Content_12019,Text_Content_12019
1231321,1231321,1231321,,,,,,1231321,1231321
抽奖,Lottery,抽奖,,,,,,宝くじ,운
1000,1000,1000,,,,,,1000,1000
Text_Content_12020,Text_Content_12020,Text_Content_12020,,,,,,Text_Content_12020,Text_Content_12020
Text_Content_12021,Text_Content_12021,Text_Content_12021,,,,,,Text_Content_12021,Text_Content_12021
300s,300s,300s,,,,,,300s,300s
Text_Content_12022,Text_Content_12022,Text_Content_12022,,,,,,Text_Content_12022,Text_Content_12022
Text_Content_12023,Text_Content_12023,Text_Content_12023,,,,,,Text_Content_12023,Text_Content_12023
10/200,10/200,10/200,,,,,,10/200,10/200
Text_Content_12025,Text_Content_12025,Text_Content_12025,,,,,,Text_Content_12025,Text_Content_12025
武器名称,Weapon Name,武器名称,,,,,,武器名,무기 이름
Text_Content_12026,Text_Content_12026,Text_Content_12026,,,,,,Text_Content_12026,Text_Content_12026
200,200,200,,,,,,200,200
99999,99999,99999,,,,,,99999,99999
距离对局开始还有,until the game starts.,距离对局开始还有,,,,,,試合開始までまだ時間がある,경기 시작까지는 아직 시간이 남았다
Text_Content_20030,Text_Content_20030,Text_Content_20030,,,,,,Text_Content_20030,Text_Content_20030
